ubigeo,nombre,poblacion,idh,esperanza_vida,pob_secundaria_completa,educacion,ingreso_pc,Huancavelica
10101,Chachapoyas ,33038.25,0.64,72.19,79.56,10.02,1259.13,0
10102,Asuncion    ,267.45,0.42,71.36,71.01,6.01,561.1,0
10103,Balsas   ,1467.03,0.32,68.59,32.77,5.19,415.02,0
10104,Cheto  ,584.75,0.35,77.53,52.21,4.58,398.66,0
10105,Chiliquin ,390.72,0.28,72.46,36.87,3.71,325.93,0
10106,Chuquibamba  ,1788.53,0.27,67.01,30.43,5.88,267.39,0
10107,Granada    ,337.12,0.36,66.18,25.71,4.6,766.81,0
10108,Huancas  ,1456.87,0.41,73.06,65.36,6.15,525.8,0
10109,La Jalca ,4279.4,0.3,73.09,42.66,4.64,305.71,0
10110,Leimebamba ,3854.7,0.4,70.3,39.99,6.32,615.85,0
10111,Levanto ,671.43,0.32,76.45,39.63,4.15,418.12,0
10112,Magdalena  ,686.87,0.47,71.62,53.26,6.38,848.55,0
10113,Mariscal Castilla ,1003.5,0.45,69.3,50.26,6.62,752.32,0
10114,Molinopampa ,2443.42,0.38,70.28,53.64,5.32,529.85,0
10115,Montevideo  ,374.43,0.45,71.26,42.6,7.35,737.66,0
10116,Olleros  ,351.51,0.36,71.94,53.26,5.67,435.9,0
10117,Quinjalca  ,639.51,0.34,73.32,52.07,3.73,494.98,0
10118,San Francisco De Daguas ,304.59,0.49,71.22,55.57,7.49,831.26,0
10119,San Isidro De Maino ,594.52,0.32,69.8,38.23,4.74,426.21,0
10120,Soloco  ,1075.69,0.34,74.4,36.31,4.74,481.79,0
10121,Sonche  ,196.46,0.37,74.25,34.08,4.51,641.31,0
10201,Bagua,26946.79,0.58,73.03,70.8,8.79,1074.02,0
10202,Aramango  ,7776.8,0.36,73.24,37.55,4.95,535.81,0
10203,Copallin  ,4605,0.47,74.22,52.57,5.53,859.42,0
10204,El Parco ,1380.38,0.49,74.33,70.22,6.04,801.15,0
10205,Imaza  ,23141.72,0.3,73.07,31.3,5.81,309.14,0
10206,La Peca  ,6329.77,0.49,71.51,48.51,6.61,960.86,0
10301,Jumbilla   ,1508.67,0.45,70.17,42.21,7.62,759.01,0
10302,Chisquilla ,283.37,0.47,71.54,77.52,5.45,797.75,0
10303,Churuja  ,244.68,0.52,64.38,80.5,7.4,950.35,0
10304,Corosha  ,1042.31,0.4,73.3,41.84,4.85,669.16,0
10305,Cuispes  ,777.54,0.3,67.6,37.44,5.03,354.42,0
10306,Florida  ,8117.86,0.36,71.89,38.11,5.71,486.66,0
